,importance,stddev,p_value,n,p99_high,p99_low
revision__hypothesis_000028,1.6039289037911092e-06,1.0282002214796585e-06,0.012582776201169701,5,3.7210073710550273e-06,-5.131495634728088e-07
group__hypothesis_000000,1.5705864502347935e-06,4.988905555711852e-07,0.0010731877384258211,5,2.597808999556122e-06,5.43363900913465e-07
group__hypothesis_000004,1.551938268834626e-06,3.408214974183122e-07,0.00026204012095272115,5,2.2536944426726306e-06,8.501820949966217e-07
group__hypothesis_000051,1.5492142480381802e-06,4.6545103466854693e-07,0.0008703408682118595,5,2.507584361637681e-06,5.908441344386793e-07
group__hypothesis_000046,1.5366468416433734e-06,5.30110911222772e-07,0.0014601544004074752,5,2.628152534762491e-06,4.4514114852425554e-07
revision__hypothesis_000009,1.519214902925912e-06,5.293637268643213e-07,0.0015152811927193392,5,2.6091821331237945e-06,4.2924767272802946e-07
group__hypothesis_000059,1.4583286081068482e-06,5.731555090651366e-07,0.0023567212652061405,5,2.6384637231229617e-06,2.7819349309073475e-07
group__hypothesis_000014,1.3557629644671341e-06,3.7353428977394923e-07,0.0006266754479018601,5,2.1248752299042348e-06,5.866506990300336e-07
group__hypothesis_000010,1.339233993427635e-06,2.380230329943257e-07,0.00011485708074150235,5,1.8293267081908805e-06,8.491412786643894e-07
revision__hypothesis_000004,1.2621580070133569e-06,7.201861303495475e-07,0.00863251526214284,5,2.74503120343322e-06,-2.2071518940650636e-07
revision__hypothesis_000034,1.2259451848065562e-06,1.747244269594118e-07,4.8199215620382874e-05,5,1.5857051948642043e-06,8.661851747489081e-07
revision__hypothesis_000006,1.2037313782943157e-06,5.149403581396437e-07,0.0031982551805089894,5,2.2640006929359462e-06,1.4346206365268537e-07
group__hypothesis_000050,1.1785561945699714e-06,5.464641616599046e-07,0.004253720160328107,5,2.3037334563650863e-06,5.337893277485643e-08
group__hypothesis_000035,1.164410508627719e-06,6.254785096375318e-07,0.007056947742651876,5,2.4522794050031153e-06,-1.2345838774767735e-07
revision__hypothesis_000040,1.0920319452172705e-06,6.805437528916435e-07,0.011500404373065284,5,2.493280938535425e-06,-3.092170481008843e-07
revision__hypothesis_000002,9.930729894361593e-07,4.527797113728995e-07,0.0040095212168637364,5,1.9253526732336222e-06,6.079330563869628e-08
